Order,Family,Genus,Species,Binomial,ActivityCycle,AdultBodyMass,GestationLen,HomeRange,DietBreadth,LitterSize,LittersPerYear,MaxLongevity,HabitatBreadth,NeonateBodyMass,PopulationDensity,Terrestriality,TrophicLevel
Chiroptera,Craseonycteridae,Craseonycteris,thonglongyai,Craseonycteris thonglongyai,nocturnal,1.96,NA,NA,6,1,1,NA,1,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Kerivoula,minuta,Kerivoula minuta,NA,2.03,NA,NA,6,NA,NA,NA,1,NA,NA,above ground,NA
Soricomorpha,Soricidae,Suncus,etruscus,Suncus etruscus,NA,2.26,27.5,NA,1,4,3.4,32.4,1,0.2,NA,NA,NA
Soricomorpha,Soricidae,Sorex,minutissimus,Sorex minutissimus,NA,2.46,NA,NA,1,8.99,NA,NA,1,NA,NA,NA,carnivore
Soricomorpha,Soricidae,Suncus,madagascariensis,Suncus madagascariensis,NA,2.47,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,lusitania,Crocidura lusitania,NA,2.48,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,planiceps,Crocidura planiceps,NA,2.5,NA,NA,2,3,NA,NA,1,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Pipistrellus,nanulus,Pipistrellus nanulus,NA,2.51,NA,NA,NA,1.96,NA,NA,1,NA,NA,above ground,NA
Soricomorpha,Soricidae,Sorex,nanus,Sorex nanus,NA,2.57,NA,NA,NA,6.49,NA,NA,1,NA,NA,NA,NA
Soricomorpha,Soricidae,Sorex,arizonae,Sorex arizonae,NA,2.7,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Hypsugo,bodenheimeri,Hypsugo bodenheimeri,NA,2.73,NA,NA,NA,NA,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Myotis,siligorensis,Myotis siligorensis,NA,2.93,NA,NA,3,0.98,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Kerivoula,phalaena,Kerivoula phalaena,NA,3.03,NA,NA,4,NA,NA,NA,2,NA,NA,above ground,NA
Chiroptera,Thyropteridae,Thyroptera,discifera,Thyroptera discifera,NA,3.13,NA,NA,4,NA,NA,NA,2,NA,NA,above ground,NA
Soricomorpha,Soricidae,Sorex,preblei,Sorex preblei,NA,3.14,NA,NA,3,NA,NA,NA,1,NA,NA,ground dwelling,NA
Chiroptera,Furipteridae,Furipterus,horrens,Furipterus horrens,NA,3.15,NA,NA,4,1,NA,NA,2,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Hypsugo,arabicus,Hypsugo arabicus,NA,3.17,NA,NA,2,NA,NA,NA,1,NA,NA,above ground,NA
Soricomorpha,Soricidae,Sylvisorex,johnstoni,Sylvisorex johnstoni,NA,3.19,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Kerivoula,whiteheadi,Kerivoula whiteheadi,NA,3.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Myotis,rosseti,Myotis rosseti,NA,3.29,NA,NA,5,NA,NA,NA,NA,NA,NA,above ground,NA
Soricomorpha,Soricidae,Sorex,longirostris,Sorex longirostris,both,3.29,NA,NA,6,3.99,2,NA,1,NA,61.11,ground dwelling,omnivore
Chiroptera,Emballonuridae,Mosia,nigrescens,Mosia nigrescens,nocturnal,3.33,NA,NA,1,0.98,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Pipistrellus,angulatus,Pipistrellus angulatus,NA,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Sorex,gaspensis,Sorex gaspensis,NA,3.35,NA,NA,NA,5.33,NA,NA,NA,NA,NA,ground dwelling,carnivore
Soricomorpha,Soricidae,Sorex,hoyi,Sorex hoyi,both,3.37,NA,NA,2,5.84,1,NA,1,NA,52,ground dwelling,carnivore
Afrosoricida,Tenrecidae,Microgale,pusilla,Microgale pusilla,NA,3.4,NA,NA,2,NA,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Emballonuridae,Saccopteryx,canescens,Saccopteryx canescens,nocturnal,3.41,NA,NA,3,1,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Pipistrellus,tenuis,Pipistrellus tenuis,NA,3.48,61.27,NA,6,1.92,3,NA,1,0.53,NA,above ground,carnivore
Soricomorpha,Soricidae,Crocidura,bottegi,Crocidura bottegi,NA,3.49,NA,NA,2,2.99,NA,NA,1,NA,NA,NA,NA
Soricomorpha,Soricidae,Sylvisorex,vulcanorum,Sylvisorex vulcanorum,NA,3.49,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Hipposideridae,Hipposideros,pygmaeus,Hipposideros pygmaeus,NA,3.53,NA,NA,2,NA,NA,NA,1,NA,NA,above ground,carnivore
Afrosoricida,Tenrecidae,Microgale,parvula,Microgale parvula,NA,3.53,NA,NA,2,NA,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Neoromicia,somalicus,Neoromicia somalicus,NA,3.53,NA,NA,2,2,NA,NA,1,NA,NA,above ground,NA
